Time,Methane Level,Soil Moisture Level
12:27.6,Not Detected,794
12:28.6,Not Detected,793
12:29.6,Not Detected,794
12:30.6,Not Detected,794
12:31.6,Not Detected,793
12:32.6,Not Detected,794
12:33.6,Not Detected,793
12:34.6,Not Detected,794
12:35.6,Not Detected,794
12:36.6,Not Detected,795
12:37.6,Not Detected,795
12:38.6,Not Detected,794
12:39.6,Not Detected,795
12:40.6,Not Detected,795
12:41.6,Not Detected,794
12:42.6,Not Detected,795
12:43.6,Not Detected,794
12:44.6,Not Detected,795
12:45.6,Not Detected,795
12:46.6,Not Detected,796
12:47.6,Not Detected,796
12:48.6,Not Detected,795
12:49.6,Not Detected,796
12:50.6,Not Detected,796
12:51.6,Not Detected,795
12:52.6,Not Detected,796
12:53.6,Not Detected,795
12:54.6,Not Detected,796
12:55.6,Not Detected,796
12:56.6,Not Detected,797
12:57.6,Not Detected,797
12:58.6,Not Detected,796
12:59.6,Not Detected,797
13:00.6,Not Detected,797
13:01.6,Not Detected,796
13:02.6,Not Detected,797
13:03.6,Not Detected,796
13:04.6,Detected,797
13:05.6,Detected,797
13:06.6,Detected,798
13:07.6,Detected,798
13:08.6,Not Detected,797
13:09.6,Not Detected,798
13:10.6,Not Detected,798
13:11.6,Not Detected,797
13:12.6,Not Detected,798
13:13.6,Not Detected,797
13:14.6,Not Detected,798
13:15.6,Not Detected,798
13:16.6,Not Detected,799
13:17.6,Not Detected,799
13:18.6,Not Detected,798
13:19.6,Not Detected,799
13:20.6,Not Detected,799
13:21.6,Not Detected,798
13:22.6,Not Detected,799
13:23.6,Not Detected,798
13:24.6,Not Detected,799
13:25.6,Not Detected,799
13:26.6,Not Detected,800
13:27.6,Not Detected,800
13:28.6,Not Detected,799
13:29.6,Not Detected,800
13:30.6,Not Detected,800
13:31.7,Not Detected,799
13:32.7,Not Detected,800
13:33.7,Not Detected,799
13:34.7,Not Detected,800
13:35.7,Not Detected,800
13:36.7,Not Detected,801
13:37.7,Not Detected,801
13:38.7,Not Detected,800
13:39.7,Not Detected,801
13:40.7,Not Detected,801
13:41.7,Not Detected,800
13:42.7,Not Detected,801
13:43.7,Not Detected,800
13:44.7,Not Detected,801
13:45.7,Not Detected,801
13:46.7,Not Detected,802
13:47.7,Not Detected,802
13:48.7,Not Detected,801
13:49.7,Not Detected,802
13:50.7,Detected,802
13:51.7,Detected,801
13:52.7,Detected,802
13:53.7,Not Detected,801
13:54.7,Not Detected,802
13:55.7,Not Detected,802
13:56.7,Not Detected,803
13:57.7,Not Detected,803
13:58.7,Not Detected,802
13:59.7,Not Detected,803
14:00.7,Not Detected,803
14:01.7,Not Detected,802
14:02.7,Not Detected,803
14:03.7,Not Detected,802
14:04.7,Not Detected,803
14:05.7,Not Detected,803
14:06.7,Not Detected,804
14:07.7,Not Detected,804
14:08.7,Not Detected,803
14:09.7,Not Detected,804
14:10.7,Not Detected,804
14:11.7,Not Detected,803
14:12.7,Not Detected,804
14:13.7,Not Detected,803
14:14.7,Not Detected,804
14:15.7,Not Detected,804
14:16.7,Not Detected,805
14:17.7,Not Detected,805
14:18.7,Not Detected,804
14:19.7,Not Detected,805
14:20.7,Not Detected,805
14:21.7,Not Detected,804
14:22.7,Not Detected,805
14:23.7,Not Detected,804
14:24.7,Not Detected,805
14:25.7,Not Detected,805
14:26.7,Not Detected,806
14:27.7,Not Detected,806
14:28.7,Not Detected,805
14:29.7,Not Detected,806
14:30.7,Not Detected,806
14:31.7,Not Detected,805
14:32.7,Not Detected,806
14:33.7,Not Detected,805
14:34.7,Not Detected,806
14:35.7,Not Detected,806
14:36.7,Not Detected,807
14:37.7,Not Detected,807
14:38.7,Not Detected,806
14:39.7,Not Detected,807
14:40.7,Not Detected,807
14:41.7,Not Detected,806
14:42.7,Not Detected,807
14:43.7,Not Detected,806
14:44.7,Not Detected,807
